"supported_platforms","technique","test_name","auto_generated_guid","url","part_of_final_test_set","c1","c2","c3","c4","c5","mfa_issue_1","mfa_issue_2","t1","t2","t3","t4","t5","t6","t7","c1_notes","c1_required_powershell_modules","c2_notes","c3_notes","c4_notes","c5_notes","c5_necessary_changes_to_atomics_for_CUT"
"azure-ad","T1136.003","Azure AD - Create a new user via Azure CLI","228c7498-be31-48e9-83b7-9cb906504ec8","https://www.atomicredteam.io/atomic-red-team/atomics/T1136.003#atomic-test-3---azure-ad---create-a-new-user-via-azure-cli ",1,,,,,,,,TRUE,,,,,,,,"Azure CLI","Replaces 'Azure AD - Create a new user'",,,,
"azure-ad","T1531","Azure AD - Delete user via Azure CLI","c955c1c7-3145-4a22-af2d-63eea0d967f0","https://www.atomicredteam.io/atomic-red-team/atomics/T1531#atomic-test-8---azure-ad---delete-user-via-azure-cli",1,,,,,,,,TRUE,,,,,,,,"Azure CLI","Replaces 'Azure AD - Delete user via Azure AD PowerShell'",,,,
"iaas:azure","T1526","Azure - Dump Subscription Data with MicroBurst","1e40bb1d-195e-401e-a86b-c192f55e005c","https://www.atomicredteam.io/atomic-red-team/atomics/T1526#atomic-test-1---azure---dump-subscription-data-with-microburst",1,,,,,,,TRUE,,,,,,TRUE,,,"Get-AzDomainInfo script, Az",,,,,"MFA compatibility: Use Connect-AzAccount command without credentials in order to interactively log in with MFA enabled"
"iaas:azure","T1619","Azure - Enumerate Azure Blobs with MicroBurst","3dab4bcc-667f-4459-aea7-4162dd2d6590","https://www.atomicredteam.io/atomic-red-team/atomics/T1619#atomic-test-4---azure---enumerate-azure-blobs-with-microburst",1,,,,,,,,,,,,TRUE,,,,"Invoke-EnumerateAzureBlobs",,,,,
"iaas:azure","T1098","Azure - adding user to Azure role in subscription","1a94b3fc-b080-450a-b3d8-6d9b57b472ea","https://www.atomicredteam.io/atomic-red-team/atomics/T1098#atomic-test-6---azure---adding-user-to-azure-role-in-subscription",1,,,,,,,TRUE,,TRUE,,,,,,,"Az.Resources","Replaces 'Azure AD - adding user to Azure AD role'. Difference to 'Azure AD - adding user to Azure AD role': In this test the user role is added for the scope of a defined subscription. New-AzRoleAssignment command is used for assigning Azure RBAC (Role-Based Access Control) roles to users, groups, service principals, or managed identities at various scopes within Azure resources.",,,,"MFA compatibility: Use Connect-AzAccount command without credentials in order to interactively log in with MFA enabled"
"iaas:azure","T1098","Azure - adding service principal to Azure role in subscription","c8f4bc29-a151-48da-b3be-4680af56f404","https://www.atomicredteam.io/atomic-red-team/atomics/T1098#atomic-test-7---azure---adding-service-principal-to-azure-role-in-subscription",1,,,,,,,TRUE,,TRUE,,,,,,,"Az.Resources","Replaces 'Azure AD - adding service principal to Azure AD role'",,,,"MFA compatibility: Use Connect-AzAccount command without credentials in order to interactively log in with MFA enabled"
"iaas:azure","T1078.004","Azure Persistence Automation Runbook Created or Modified","348f4d14-4bd3-4f6b-bd8a-61237f78b3ac","https://www.atomicredteam.io/atomic-red-team/atomics/T1078.004#atomic-test-2---azure-persistence-automation-runbook-created-or-modified",1,,,,,,,,,,TRUE,,,,,,"Terraform, Azure CLI, Azure",,,,,
"iaas:azure","T1619","Azure - Scan for Anonymous Access to Azure Storage (Powershell)","146af1f1-b74e-4aa7-9895-505eb559b4b0","https://www.atomicredteam.io/atomic-red-team/atomics/T1619#atomic-test-3---azure---scan-for-anonymous-access-to-azure-storage-powershell",1,,,,,,,,,,,,TRUE,,,,"None",,,,,
"azure-ad","T1552.005","Azure - Search Azure AD User Attributes for Passwords","ae9b2e3e-efa1-4483-86e2-fae529ab9fb6","https://www.atomicredteam.io/atomic-red-team/atomics/T1552.005#atomic-test-1---azure---search-azure-ad-user-attributes-for-passwords",0,1,,,,,,TRUE,,,,,,TRUE,,,"MSOnline",,,,,"MFA compatibility: Use Connect-MsolService command without credentials in order to interactively log in with MFA enabled"
"azure-ad","T1082","Azure Security Scan with SkyArk","26a18d3d-f8bc-486b-9a33-d6df5d78a594","https://www.atomicredteam.io/atomic-red-team/atomics/T1082#atomic-test-24---azure-security-scan-with-skyark ",0,1,,,,,,TRUE,,,,,,TRUE,,,"AzureAD, SkyArk AzureStealth, Az",,,,,"MFA compatibility: Use Connect-AzureAD command without credentials in order to interactively log in with MFA enabled"
