,,"Raw extracted data",,,,,,,,,,,,,,,,"Cleaned/synthesised data",,,,,,,
"ExtractedObjectId","SourceType","Source","raw_Object","raw_CategoryofObjects","raw_IsThreat","raw_IsAttack","raw_IsVulnerability","raw_WideSecurityRelatedTerm","raw_CIAField","raw_IaaS","raw_PaaS","raw_SaaS","raw_CloudComponent","raw_Rank","raw_Comment","raw_MentionedSourceOfInformation (other than literature)","raw_Reference (C - chapter, P - page)","edited_Object","edited_IsConcern","edited_IsThreat","edited_IsAttack","edited_IsVulnerability","edited_ForCSPExclusively","NumberAddedToThreatsTable","NumberAddedToConcernsTable"
1,"Publication","Marinescu2023","Security",,,,,"Challenge",,,,,,,"Challenge to software developers and cloud users",,"C 2.10","Security","TRUE",,,,,,1
2,"Publication","Marinescu2023","Compliance",,,,,"Challenge",,,,,,,"Challenge to software developers and cloud users",,"C 2.10","Non-compliance and fines","TRUE",,,,,,1
3,"Publication","Marinescu2023","Managing costs",,,,,"Challenge",,,,,,,"Challenge to software developers and cloud users",,"C 2.10","Managing costs","TRUE",,,,,,1
4,"Publication","Marinescu2023","Lack of expertise",,,,,"Challenge",,,,,,,"Challenge to software developers and cloud users",,"C 2.10","Lack of expertise","TRUE",,,,,,1
5,"Publication","Marinescu2023","Security threat",,,,,"Concern",,,,,,,"Main user concern","Survey of user experience","C 2.10","Security","TRUE",,,,,,1
6,"Publication","Marinescu2023","Dependence on fast internet connections",,,,,"Concern",,,,,,,"Main user concern","Survey of user experience","C 2.10","Dependence on fast internet connections","TRUE",,,,,,1
7,"Publication","Marinescu2023","Forced version updates",,,,,"Concern",,,,,,,"Main user concern","Survey of user experience","C 2.10","Forced version updates","TRUE",,,,,,1
8,"Publication","Marinescu2023","Data ownership ",,,,,"Concern",,,,,,,"Main user concern","Survey of user experience","C 2.10","Data ownership ","TRUE",,,,,,1
9,"Publication","Marinescu2023","User behavior monitoring",,,,,"Concern",,,,,,,"Main user concern","Survey of user experience","C 2.10","User behavior monitoring","TRUE",,,,,,1
10,"Publication","Marinescu2023","Abuse and villanious use of the cloud",,,,,"Concern",,,,,,,,"Survey of user experience","C 2.10","Using the cloud to host attacks (services, ressources, ...)","",TRUE,,,TRUE,,
11,"Publication","Marinescu2023","APIs that are not fully secure",,,,,"Concern",,,,,,,,"Survey of user experience","C 2.10","Insecure interfaces and APIs","",TRUE,,TRUE,,1,
12,"Publication","Marinescu2023","Malicious insiders",,,,,"Concern",,,,,,,,"Survey of user experience","C 2.10","Malicious insider attack","",TRUE,,,,1,
13,"Publication","Marinescu2023","Account hijacking ",,,,,"Concern",,,,,,,,"Survey of user experience","C 2.10","Account hijacking / compromised accounts","",TRUE,TRUE,,,1,
14,"Publication","Marinescu2023","Data leaks",,,,,"Concern",,,,,,,,"Survey of user experience","C 2.10","Data leakage/disclosure","TRUE",,,,,,1
15,"Publication","Marinescu2023","Issues related to shared resources",,,,,"Concern",,,,,,,,"Survey of user experience","C 2.10","Multitenancy / Shared technology","",TRUE,,,,1,
16,"Publication","Marinescu2023","Identity theft and privacy",,,,,"Concern",,,,,,"Major concern",,"Survey of user experience","C 2.10","Identity theft","",TRUE,,,,1,
17,"Publication","Marinescu2023","Availability",,,,,"Concern",,,,,,,,"Survey of user experience","C 2.10","(Data) Availability","TRUE",,,,,,1
18,"Publication","Marinescu2023","Liability",,,,,"Concern",,,,,,,,"Survey of user experience","C 2.10","Liability","TRUE",,,,,,1
19,"Publication","Marinescu2023","Data ownership ",,,,,"Concern",,,,,,,,"Survey of user experience","C 2.10","Data ownership ","TRUE",,,,,,1
20,"Publication","Marinescu2023","Copyright",,,,,"Concern",,,,,,,,"Survey of user experience","C 2.10","Copyright","TRUE",,,,,,1
21,"Publication","Marinescu2023","Potential loss of control/ownership of data",,,,,"Concern",,,,,,,,"Concerns identified by NIST working group","C 2.10","Potential loss of control/ownership of data","TRUE",,,,,,1
22,"Publication","Marinescu2023","Data integration, privacy enforcement, data encryption",,,,,"Concern",,,,,,,,"Concerns identified by NIST working group","C 2.10","Data integration, privacy enforcement, data encryption","TRUE",,,,,,1
23,"Publication","Marinescu2023","Data remanence after de-provisioning",,,,,"Concern",,,,,,,,"Concerns identified by NIST working group","C 2.10","Data remanence after de-provisioning","TRUE",,,,,,1
24,"Publication","Marinescu2023","Multi-tenant data isolation",,,,,"Concern",,,,,,,,"Concerns identified by NIST working group","C 2.10","Multi-tenant environment / data isolation","TRUE",,,,,,1
